id,text,sarcastic,rephrase,dialect
1731,طبعا لسه متفائل، بل أكثر تفاؤلا بخروج المكبوت إلى النور أي جراحة لا تخلو من ألم؟,0,,nile
1732,إنتا فرحة جات لِ عندي بعد دنيا من التعب السعادة إللي بعشها يَ حبيبي إنتا السبب ضحگتك عقلك جنونك والحنان إللي في عيونك  شير…,0,,nile
1733,ماحدش له دعوة بيا انا و جيمي اتنين اخوات بيتكلموا ماحدش له دعوة,0,,nile
1734,  احمد شفيق لن يعود !== بني سويف ارحل بامر الشعب تيران صنافير مصرية مصطفى بكري سامح شكري مجلس الوزراء مسرح مصر هشام جنينة ,0,,msa
1735,أنا أبكي !! وأدري أن دموع العين خذلان وملح !!  محمود درويش,0,,msa
1736,رحم الله جمال البنا أتاح مكتبته الضخمة في العباسية للشباب وحرص على مساعدتهمالمكتبة عنوانها 195 شارع الجيش بالقاهرة أتمنى أن تظل تعمل بعده,0,,msa
1737,  الناتو : ضباط اتراك طلبوا اللجوء في بلدان تنتمي إلى الحلف ,0,,msa
1738, في رايي الشخصي ... انه بعد تألق احمد الشيخ مع المقاصة كدة السنه الجاية الاهلي هيودي ميدو جابر اعارة للمقاصة و يأخد احمد الشيخ....  😂 😂 ,0,,nile
1739, ميشال عون... رجل لن يكرره الزمن  جهزوا سواعدكم ,0,,msa
1740,الدوري الإسباني جولة 151- ريال مدريد 37 نقطة2- برشلونة 31 نقطة3- إشبيلية 30 نقطة4- فياريال 26 نقطة5- ريال سويداد 26 نقطة,0,,msa
1741,اى والله :)  اسلوب حياة,0,,levant
1742,المعنى الحقيقي للوطنية المعنى الحقيقي للضحكة الصافية  باسم ,0,,msa
1743,شكرا ياشباب على محبتكم ربنا يجعل كلامنا خالصا لله والوطن ده رابط تحميل المعصرة مقالة أحمد زكي مهمة تصبحوا على خير,0,,nile
1744,فيك عن ميثاقك الوافي جنوح لا انتحيتي كالخيول الجافله من يؤمن في رجوعك به تروح للهموم أللي بسنيـنك حافله  محمد الشمري,0,,gulf
1745,مقال رائع لخالد منتصر,0,,msa
1746, الاحتفال بعيد  الاستقلال خيانة عظمى بظل استمرار  الاحتلال ! ,0,,msa
1747, لم تختار  حماس 😍 ,0,,msa
1748, الي مو عاجبه مبدأ التعايش مع مختلف اشكال الناس.. عنده حلين.. يا يصير امريكي و يصوت حق دونالد ترامب.. او ينتحر.. الخيار الثاني اشرف لك.. ,0,,levant
1749, إنما المؤمنون إخوة  علي شعار رابعة خلفية الزعيم  أردوغان في منظر ولا أروع  مرسي رئيسي,0,,msa
1750,اوعى تنسى انو احسن هدفين لعام 2014 وبكل صدق تم تسجيلهم بالدوري الاردني,0,,nile
1751,الله يرحمك يا جبران تويني ١١ سنة يا صديقي وبعدك بالبال رجل كلمته حرة. وبعد بالبال آخر لقاء لنا ضحكنا ع ردة فعل جان لويس قرداحي امام مي شدياق,0,,levant
1752,اخيراً خلصوا الحراره لاعبة لعبها بس لازم نختم كلام اليوم😰واعتذر عن  حزب الاعاده✋🏻سبحان اللهالحمد للهأستغفر الله😴😴  زد رصيدك37,0,,nile
1753,مصر رائدة التحولات الكبرى حسمت التحديات التي واجهت كل المنطقة كالغزو المغولي والبريطاني وستضع حداً للتيارالعلما…,0,,msa
1754,الله يخرب بيت اللى اقتراح استيراد الفحم قولوا امين  أوقفوا الفحم,0,,nile
1755,  قروب المحبه والموده قروب فيدرر للدعمعبارة مُريحه :إن الله لا يَنسى قلبًا لجأ إليه. ,0,,msa
1756,ندعو الشباب المؤمن بمبادئ الوسط والراغب في المشاركه الفعاله للتواصل معنا واستكمال الاستمارة المرفقه,0,,msa
1757, مردخاي يحمل  حماس  مسؤولية  التصعيد قرب سياج  غزة ,0,,msa
1758, شوقي : ولد الهدى فالكائنات ضياء وفم الزمان تبسم وثناء/ اللهم صلي وسلم على سيدنا محمد وعلى اله وصحبه وسلم  بكفي حصار  اضبطوا شركاء المخلوع,0,,nile
1759,كيري: أطالب كل الأطراف بالالتزام بوقف الأعمال العدائية الذي سيسمح بتوصيل الإغاثة الإنسانية وسيساعد على استئناف مباحثات السلام. 2/4,0,,msa
1760,خمس الاف  الامارات  الهلال  النصر  السعودية  الكويت  قطر  الرياض  مكة  رتويت    دبي  الشارقة    غرد بصورة 168,0,,msa
1761,كل يوم يزداد ايماني ان ربي حبيبي معي يارب لك الحمد جميع الامور ميسره بكل حب,0,,nile
1762, اللهم أستودعك أهلي وأحبتياللهم أستودعك بلادي  ليبيا وأهلها وشبابها اللهم أنعم علينا بالأمان والاستقرار وحسن المعيشة والتغيير للأفضل ,0,,msa
1763, خلق جميل الحياء/ الرجولة,0,,msa
1764,يا من اذا قلت ي مولاي لباني يا واحداً ماله ف ملكه ثاني أعصي وتسترني أنسى وتذكرني فكيف أنساك ي من لست تنساني لا اله الا انت  …,0,,msa
1765, «الهلال الاحمر الكويتي»: وقعنا اتفاقية مع «الهلال القطري» لتوزيع المساعدات الإغاثية على النازحين السوريين من حلب ,0,,msa
1766, اكتب عبارة على باب قلبك ' فراق وجهك ضيق ومواجهك عيد والوقت قاسي والتقاليد قـــشرا ,0,,msa
1767,الشعب هو البطل الوحيد!,0,,msa
1768,ثمه شعله حنين مشتعله في جوفي حرقت كبريائي حتى الرماد ومزجته في كوب زجاجٍ شفاف وسكبته على أزهار الذكرى حتى أرتوت وينعت  اعترا…,0,,msa
1769, اللحين هو انا بس اللي شايف ان بيونسيه مو كوين ولا شيء ؟ ,0,,msa
1770,الرضا بماا كتبه الله لك~ يجعل لك الحياة كما تريد♡,0,,msa
1771,من الذي زار مرسي في مخبئه السري؟! دعلاء الأسواني يكتب مقاله بعنوان :   كيف للرئيس أن ينام ؟!   على هذا الرابط >>,0,,msa
1772,رفع الشعارات السياسية في الحج حرام شرعاً وخيانة وطنية …,0,,msa
1773,جمهورية مصر الطبيعية جمهورية ديمقراطية حقيقية جمهورية مدنية تحمي حقوق المواطنة و المساواة و العدل,0,,msa
1774, اريد اخبارالمشاهيرالعرب بختصار(نوال الزغبي)ارجوكم ,0,,msa
1775,4 للتوضيح: تماما كما سجلت رفضي في اجتماع سد النهضة لغياب الشفافية في مسألة سيناء وفي كلمة علنية فخرج البعض مدعيا شكري على الشفافية في سيناء,0,,msa
1776, كنا في احتلال اليهود ل  فلسطين و الآن أربع عواصم   عربية محتله من  إيرانليتنا بقينا على واحدة ولم نفرط في اربعه. ,0,,msa
1777, انا كنت في سيرتك أمبارح مع قلبي وحنيني لك ❤ 🎼🎤  اليسا ,0,,nile
1778, اكبر تناقض عاشوا لبنان كان بين ثورة كبيرة وكرسي غالية ومبادئ انكتبت بدم شهدا غاليين للأسف صارت ملف بجارور رخيص  جبران تويني ,0,,levant
1779, وفضحت  حلب العرب والغرب  المتشدقين بحقوق الإنسان والحيوانحلب كشفت عور العرب  ولكن يقين بأن النصر لهم  حتما سننتصر ستبقى حلب ستنتصر حلب ,0,,levant
1780,غدًا الثلاثاء ٢٢ نوفمبر الساعة ٧ مساءً في  معرض الكويت الدولي للكتاب سأقدّم ندوة الكتّاب بين أفق التجريب وممكنات النجاح أتشرف بكم ❤️,0,,msa
1781, : يضاف اليهم البرادعى ضمير الثورة  طبعا,0,,msa
1782,نحيي شباب حزب الوسط على مجهودهم الرائع فى الانتخابات والذى كان سببا فى حصول الحزب على ما يقرب من مليون صوت ممن صوتوا لنا عن اقتناع,0,,msa
1783, اشتباكات بين  الجيش السوري والمسلحين عند محور كباني في ريف  اللاذقية الشمالي وسط قصف مدفعي وصاروخي يستهدف نقاط انتشار المسلحين في المنطقة ,0,,msa
1784,  صور للشاب عوني مازن الشخشير الذي اعتقله  الاحتلال قبل قليل، على حاجز زعترة جنوب مدينة  نابلس. ,0,,msa
1785,  رائيكم  بقيام  الكتائب الارهابية بضرب الحافلات التي تنقل المدنين والجرحى في حلب الشرقية  ,0,,msa
1786,نهضة الغرور والأنانية يدعمها النفاق,0,,msa
1787, المجد للمبتسمين  المجد للمبتسمين صباحا,0,,msa
1788, كانت طائرات الناتو تقصف مواقع الشعب المسلح ف المعسكرات والجبهان مع لحظة ارتفاع ادان المغرب ف شهر رمضان لقد كانوايقتلون الرجال ويستهزون تبع ,0,,msa
1789,نظرة هادئة لمشهد ملتهبمقال اليوم أجيب فيه عمن يسألونني دائما عن الحل ويتهمون الكتاب عامة بعدم الحديث عن الحلول,0,,msa
1790, الأرجنتين في أرضها و بين جمهورها خسرانه من البارغواي حتى الآن، يقولون الأرجنتين منتخب في لاعبين كبار حتى بدون ميسي راح يوصلون الثلاث نهائيات ,0,,gulf
1791, اللى بيتولدوا وبيعشوا فى العواصف 💪 ما بيخافوش من الريح 👌 ✊ مشتاق اسمع جمله عادل امام كلمه لحبيب قلبك حب أعمى ولسه يامصر هشوف فيكي ,0,,nile
1792, الاهلي  اسلوب حياة,0,,msa
1793,"ملايين فى الشوارع قبل العاشرة صباحا مشهد لم يره بلد فى العالم, كم أنت عظيم يا شعب مصر",0,,msa
1794,اسألوا البرادعي عما فعله في العراق  باسم طلع حرامي …,0,,msa
1795,مشكلة اليسار مش اللي قاله العريان مشكلته إن رغم كونه الفصيل الأكثر فاعلية ونضالية في الثورة المصرية لم يستطع طرح شكل,0,,nile
1796,تبقى مناظرة اخيره بين المرشحين للرئاسة الامريكية. اظن بل اجزم ان الفوز سيكون من نصيب هيلاري كلنتون. والعلم عند الله لكن المعطيات تقول ذلك,0,,msa
1797,10-أخيرا فإن تدخل الأمريكان جاء لإيجاد موطئ قدم وضمن استراتيجية-إعادة التمركز-،وهو شبيه بتدخل الناتو في 2011 إذ لا علاقة له بالأهداف المعلنة,0,,msa
1798, خبر عاجل : وزراء دفاع روسيا وايران وتركيا يبحثون الازمة السورية في موسكو غدا الثلاثاء ,0,,msa
1799,لقد قامت الثورة وضحى الاف المصريين بحياتهم من اجل استعادة كرامة الانسان المصري داخل مصر وخارجها اين وزير الخارجية اين عصام شرف,0,,msa
1800, لن تعيدونا إلى   الظلام .. ب الأحضان  نبني  ليبيا.. رغم   المُفخّخات  و   الانفجارات . ,0,,msa
1801,ديميكليس هذا مفترض لا يلعب ، صديق ميسي .موساتشيو ليس مدافع يسار ومايدانا وغاراي افضل،لا اعرف لماذا ميسي مستبعد غاراي.,0,,msa
1802,اي أمرأة تصنع الحب والايثار والاهتمام والعطف والحنان مؤهلة ان تصبح أم مثالية,0,,msa
1803,يا عزيزي حاولت اكثر من مرة من سبتمبر اللي فات وكان موافق ثم اكلم من حوله فلا اجد اجابة شافيةدلوقتي برنامجي خلص خلاص,0,,nile
1804, الوطن | رئيس المجلس المصري للشؤون الخارجية يغادر إلى  نيويورك  مصر  اخبار,0,,msa
1805, بعض الاعلام الغربي يستخدم مصطلح  الحرب السورية  لتفادي حقيقة أن النظامين السوري و الروسي هما الذين يذبحان الشعب السوري ,0,,msa
1806, هيلاري كلنتون لم ولن تنسى خيانة زوجها لها وسر تمسكها به لأنهم من جيل لا يعرف الطلاق. ,0,,msa
1807,الرضا  خلق جميل,0,,msa
1808, هو فيه واحده جديده دخلت الاسلام اسمها نورهان ابوبكر ؟ ,0,,nile
1809, يطلبون السلاح من الغرب ويلومونه لماذا يمنعه عنهم؟.بالرغم انه زودهم بما يكفي منه باستثناء النوعي لكن جبهة النصره واحرار الاخوان سرقوا اسلحتهم ,0,,msa
1810,: أنا أنتظرك لأنني لا أجد شيئاً آخر يُسليني في غيابگ عنّي !  اعترافات ليلية ,0,,msa
1811, محمود درويش,0,,msa
1812,بعد قليل ننشر لكم فيديو من ندوة دعلاء الأسواني من ساقية الصاوي بتاريخ 14-6-2012 ويوضح موقف دالأسواني من انتخابات الإعادة الأدمن,0,,msa
1813,قصه قصيرة : عرف ربه فأحبه فعاش سعيداً,0,,msa
1814, وبعدين ميريام فارس حلوه اوڤر كدا ليه😍 ,0,,nile
1815,لازلت معترضا على تشكيل الجمعية التأسيسية لانه يجعل دستور مصر في يد اغلبية تنتمي الى الاسلام السياسي الدستور يجب ان يمثل المصريين جميعا,0,,msa
1816,  ماذا لو المدارس مختلطه اغغلب المدارس فيها بويات تعتبر مختلطه؟؟؟؟ ,0,,msa
1817, الذهبية نوال الزغبي ❤   توبر قلبي ,0,,levant
1818,  القدس-شرطة  الاحتلال تعترف بإطلاق نار على قواتها قرب  معبر الزيتون فجر اليوم ووقوع أضرار دون إصابات ,0,,msa
1819, السيسي يلوم  الخطاب الديني غير المرتبط بالعصر  على ما لحق من ضرر بقطاع السياحة في  مصر  مرسي  الاخوان  السعودية  الامارا…,0,,msa
1820,النظر إلى وجه الأم عبادة…,0,,msa
1821, لماذااي قرار سياسي داخلي وخارجي في  السعودية أول من يعلم عنه ويتحدث عنه الاعلام الغربي . والاعلام السعودي والشعب السعودي مجرد أدوات تطبيل . ,0,,msa
1822, الواتساب معلق,0,,nile
1823, إبراهيم محلب هايدخل التاريخ وهايحل مشكلة سد النهضة وإبقو إفتكرو إن مدرستى دى لاسال قدمت هدية لمصر من أحد خريجيها الناجحين,0,,nile
1824,الاشتباكات اللي حصلت يتحملها الجميع لكن الخطأ السياسي كان القرار بالدعوة لمظاهرة مؤيدة للرئيس في نفس مكان وزمان مظاهرة معارضة,0,,nile
1825,بطاقة دعوة  زواج حلوه لـ  الواتس اب من تصميمنا رتويت ي حبايبي :$,0,,nile
1826, طقس العرب ما بالغت هاي السنة بس الشعب قرر ياخد مكانها و يبالغ! حكوا انه تساقط و فش تراكمات و الناس قاعدة بتناقش اذا في عطلة ولا لا ,0,,gulf
1827,الصلح خير قوم نتصالح  المشير,0,,nile
1828, اسكندرية : محطة الرمل زمان أو دلوقت دايما جميلة :),0,,nile
1829,أعتقال الناشط اليساري هيثم محمدين يكشف بوضوح أن العسكر يستهدف المد الثوري أي كان لونه أو شكله أو إنتماءه وأن …,0,,msa
1830,  جمله من معلق رسخت ببالك حطها ف شبكة ، قطع الشبكة،  جيبها من الشبكة يا ايكر،  تعليق عصام شوالي ف ضربة سد لميسي على ريال مدريد🙊. ,0,,nile
1831,لا شيء يبرر إحالة المدنيين للقضاء العسكري حتى البلطجية القضاء المدني كفيل بهم,0,,msa
1832,سأتجه الآن إلى الملتزم (بين الحجر الأسود و باب الكعبة) هناك يستجاب الدعاء و هناك لصق النبي جسده بالكعبة و دعا الله كثيراً سأدعو لكم كثيراً,0,,msa
1833,إستخدام المساجد في العمل السياسي ونشر العنف    ,0,,msa
1834, احد قد جرب يشتري قهوه من اي هيرب ولا امازون يتفضل يساعدني 😓 ,0,,nile
1835, هذة مصر عز و فخر لهذه الامة,0,,nile
1836, اغنية رامي عياش اللي بحكي فيها على عيني و راسي والله عنك لحظة ما أتخلى كتير حلوة ,0,,gulf
1837, ليه ميبقاش في مدرسه لتعليم السحر زي هاري بوتر ؟؟ 😟 ,0,,nile
1838, أمريكا قبل روسيا والنظام تريد القضاء على فصائل المعارضة لأنها لم تلزمهم بالانفصال عن جبهة النصرة وهي قادرة على ذلك لتبرير لروسيا موقفها. ,0,,msa
1839, ع منطق حقير ولا يتبعه سوى الجبناء هذه نفس تقتل عارف يعني ايه؟ يمكن لو أخوك أو أمك كنت تفهم,0,,nile
1840,التعادل فى نهاية اللقاء قلل فرحة الاهلى لكنه خير لأنه سيجعل لقاء الاياب فى القاهرة حاسما ودور المصريين خلاله حاسم لاعلاء اسم بلدهم وفريقهم,0,,msa
1841,التنظيم الدولي للإخوان تعلم على يد رامسفيلد يقوم بحربين في وفت واحد او  كلام و كلام  يوسف الحسيني  …,0,,msa
1842, شياو يان من بيت الوسط: سنواصل مساعداتنا وسنبقى على تواصل مع لبنان بشأن سوريا ,0,,msa
1843,افضل ﻻعب في العالم رونالدو لم يستطع التسجيل بوجود الصخرة حمد المنتشري!  اسطورة  كانيدا يحتاج لحمد المنتشري,0,,msa
1844,26- لم يغرّر أوباما بالمعارضة السورية وحسب، بل فاجأها بتفرجه على تدخل حزب الله اللبناني والحرس الثوري الإيراني ثم المليشيات العراقية وغيرها.,0,,msa
1845,لسنا ضد من عارض مرسي بل لسنا ضد من دعم الانقلاب لكننا ضد من دعم القتل وفوض القاتل,0,,msa
1846,ناخد من الرسول عليه الصلاة والسلام قدوة لما كانوا بيشتموه كان هو كمان بيشتمهم تفتكروا؟ كان زماننا بوذيين,0,,nile
1847,مصر تستجدى روسيا لاعادة السياح بكره تشوفو مصر,0,,nile
1848, قوات  الاحتلال تقمع المشاركين في مسيرة كفر قدوم المناهضة للاستيطان، قبل قليل، وتطلق قنابل الغاز والصوت بكثافة صوبهم. ,0,,msa
1849,  ليبيا||القبض على زوجة  مختار بلمختار القيادي  بتنظيم القاعدة شرقي الجبل الأخضر. ,0,,msa
1850,استفدت كتيير اوي من حلقة انهردة معلومات اول مرة اسمعها بارك الله فيك ^^  مصطفى حسني على طريق الله   روح العبادة  ,0,,nile
1851,  سوريا  الجيش السوري يسيطر على أحياء الجزماتي والسكن الشبابي والبحوث العلمية شرق  حلب ,0,,msa
1852, رسميا .. القبض على زوجة مختار بلمختار القيادي بتنظيم القاعدة شرقي الجبل الأخضر.  ليبيا ,0,,msa
1853,لدي رغبة عارمة في الانتقام لو جاءتني الفرصة سأكون اكثر شراسة منهم  اعترافات ليلية,0,,msa
1854,ونقوم ولا شيئ يوقفنا لا أبو جهل جهله يحرفنا ولا أبو لهب هيخوفنا ماحناش ضعاف قلالات حيلة آه ياجميلة  عمار وسيد,0,,nile
1855,خطاب عاجل إلى وزير التعليم: مدرسة الشهيد أحمد كمال في طنطا مأساة التعامل مع أسر شهداء الثورة:,0,,nile
1856,682  الراتب مايكفي الحاجة  الاتحاد  الهلال  النصر  الاهلي  مرسي,0,,gulf
1857,تهنئة لكل طالب وطالبة قضوا ما يزيد عن 150 يوماً معتصمين وواجهوا كل انواع التنكيل  جامعة النيل,0,,msa
1858,ايه اكتر اغنيه عجبتكم من الفنانه  غادة رجب في برنامج  احلي مسا مع النجمه  فيفي عبده و النجم  هشام عباس ؟,0,,nile
1859,اللي يشوفك يتمنى يكون مثلك واللي يعرفك يحترمك ويحبك واللي يسمع عنك يتمنى يقابلك !  حاول ,0,,msa
1860, الأقصر مدينة خضراء,0,,msa
1861,فى  عظمتك ملقتش كتييييير  بتكسب و تفرح  الملايين  الاهلى,0,,nile
1862,ولا يفتح الباب للفوضى والفراغ إن نحن أحسنا إدارة عمليات وضع الدستور وانتخاب الرئيس,0,,msa
1863,لماذا نتمسك بانتخابات تحت اشراف دولي ؟! أقرأ المقال كاملا …,0,,msa
1864,باعلان الهدنة يعني ان الحكومة بدات التعاطي مع افكار  كيري وتحديد مدة الهدنة ب48 ساعة يعني اختبار للذهاب لتنفيذ الخطوات الاخرى .. اليمن,0,,msa
1865,كل الناس شيفنا حبايب إلا عنيكى وأنا من خوفى لتبعدى عنى بخبى عليكى  عمرو دياب,0,,nile
1866, اللهم🙌🏼انصر  حلب  سوريا المظلومةوانتقم لأطفالهاونسائها من ظالمهم وشتت شمل عدوهم  ايران و  روسيا و  حزب الله وجنودهم اجمعينوانصر من يذودعنها ,0,,msa
1867, العثور على عنكبوت  الباب المسحور  النادر في الصين  المطبخ الاخباري  فلسطين ,0,,msa
1868, شكرًا فرنسا لما فعلتيه من اجل حلب ولما تفعليه من اجل سورية . مواطن حلبي ,0,,msa
1869,حبس الصحفي اسلام عفيفي بتهمة إهانة الرئيس امر مشين ومرفوض وهو أسوا ما يمكن ان يبدأ به الرئيس مرسي ولايته اين وعود الرئيس عن حرية الصحافة,0,,msa
1870, روسيا تطوق مشروع باريس بشأن حلب بفيتو ومشروع جديد ,0,,msa
1871,براءة مبارك في قتل المتظاهرين كانت في جلسة 15 أبريل 2013 يعني في عز حكم الإخوان ولم يتم الإستئناف,0,,nile
1872, المتحدث باسم الخارجية الاميركية جون كيربي: جميع جيران  العراق ينبغي ان يحترموا سيادته والقوات التركية ليست جزءا من  التحالف الدولي. ,0,,nile
1873, ان كان  سكوت  العرب هو ما  يبيد   حلب فما الذي أباد ويبيد مدن  العراق  ليبيا  اليمن سوى الأنظمة العميلة في  الخليج؟؟ حلب تباد بسكوت العرب؟؟ ,0,,msa
1874,مشاهد مؤلمة لاستمرار الجيش المصري في تفجير منازل اهالي رفح شمال  سيناء  حسبنا الله ونعم الوكيل,0,,msa
1875,في حالة تشاور مستمر حول الخطوة القادمة من اجل توافق وطنى على حكومة الانقاذ مع السيد حمدين صباحي ود البرادعي  ,0,,msa
1876,الى من يعتبر الاخوان سلميين شاهد الان ضحايا اعتداءات الاخوان الوحشية على الابرياء في بين السرايات مع الاستاذ وائل الابراشي اخوان مجرمون,0,,msa
1877, التهديدات التي تواجهها دول حلف الناتو ودول الخليج العربية هي تهديدات مشتركة منطلقها (ايران ) فلماذا لا نتعاون مع الناتو ؟ ,0,,msa
1878, اللهم اجعله غيثا نافعا وارحم الشهداء وارفع عن بلادنا البلاء يارافع السماء 👐 بنغازي ,0,,msa
1879,  فلسطينقبل قليل:مصرع مواطنة جراء انفجار اسطوانة غاز في منزلها بيطا جنوب الخليل. ,0,,msa
1880, في  لبنان وزارة للمرأة يترأسها الوزير جان اوغاسبيان. 😊😎😁 ,0,,msa
1881, تركيا تنفي عقد اي صفقة سرية مع موسكو حول مستقبل سوريا وتشدد على موقفها بشأن رحيل الاسد! ,0,,msa
1882,كيف تتشدق بهذا الدستور؟,0,,msa
1883, الحمد لله على نعمة الإسلام وقائد الحزم سلمان 💚فالاختلاط لا يطعم فقيرا و لا يحمي ضعيفا و لا يستر عاريا بل يفضح !  ماذا لو المدارس مختلطه ,0,,msa
1884,السيدة  فيروز 81 عامًا,0,,nile
1885, صحى عيون الناس محبوبى قبل الكل ❤🙈  فيروز 😍😍 ,0,,levant
1886,عقبالنا :))),0,,nile
1887,راسي يعورن ابي ايفون ٧,0,,gulf
1888,انا مستعد للقيام بأي دور لخدمة الوطن حفاظا على التضحية التى قدمها الشهداء وحماية لمطالب الثورة,0,,msa
1889,الرئيس سعد الحريري :  في ذكرى اغتيال الصديق جبران تويني، نظل على قسمه بأن نبقى موحدين دفاعا عن  وطننا، وفاء لـ 14 آذار ولكل شهدائنا. لبنان,0,,msa
1890,كوز درة مشوي مكمورة في الغيط وعبد الحليم بيغني جانا الهوى  ,0,,nile
1891,د عبد المنعم أبو الفتوح على قناة الحرة: أنا ضد مظاهرات ماسبيرو و ضد المظاهرات أمام الكنائس,0,,msa
1892, اعتراف انا مبخفش من اى حاجة تتخيلها  حقيقة  اه والله,0,,nile
1893,  الجوف و  الحدود الشماليه امطار هذه الليله وصباح الغد ... وثلوج محتمله على بعض مناطق المملكه ..   طقس العرب ,0,,nile
1894, ﺷﺎﻳﻒ ﺍﻟﺒﺤﺮ ﺷﻮ ﻛﺒﻴﺮ؟ ... ﻛﺒﺮ ﺍﻟﺒﺤﺮ ﺑﺤﺒﻚﺷﺎﻳﻒ ﺍﻟﺴﻤﺎ ﺷﻮ ﺑﻌﻴﺪﺓ؟ ... ﺑﻌﺪ ﺍﻟﺴﻤﺎ ﺑﺤﺒﻚ فيروز 🎁💝🎂 من قلبي سلام لفيروز ,0,,levant
1895,باحييكي من كل قلبي على الكتاب الرائع المهم الجميل والغني بتفاصيله الحزينة والموجعة والمدهشةلو كان عصير الكتب موجود كنت احتفلت بيه,0,,nile
1896, عميد بلدية  سرت مختار المعداني يناشد المجتمع الدولي تقديم الدعم وتوفير المعدات اللازمة للفرق المختصة في انتشال الجثث من تحت الركام. ,0,,msa
1897,  حياتنا عباره عن قال شيخ الإسلام ابن تيمية رحمه الله تعالى   القلوب الصادقة والأدعية الصالحة هي العسكر الذي لا يغلب . ستبقى حلب ,0,,msa
1898,قرار رئيس الجمهورية بعودة البرلمان للانعقاد صحيح و التنفيذ الصحيح لحكم المحكمة الدستورية يكون في الإنتخابات القادمة,0,,msa
1899,ابو الفتوح علي التحرير الان حوار قوي جدا  ,0,,msa
1900,الحمد لله حققنا مستهدف حملة ال21 يوم لمحو الأمية شكرا لشباب صناع الحياة و لكل شركاء الحملة يا رب أعنا على,0,,nile
1901,يا غنوة مبتكملش يا دمع يا محبوس ليه كل ما أحلم حلم بقى يتقلبلى كابوس  محمد محسن,0,,nile
1902, الاصلاحيون فرحو ع سحل القذافي وشجعو الناتو والطائرات الاماراتيه والقطريه وهي تقصف قواته والان مايدرون عن الشعب الليبي اللي يعاني من داعش ,0,,msa
1903,أكلاشيه رقم 4 : تمكين الشباب و كنداراجع نتائج انتخابات بريطانيا و أمريكا و النمسا,0,,nile
1904,   لغز الحياة  مصطفي محمود  البرنس,0,,msa
1905,سوري الرابط اهه,0,,nile
1906,ربي إني استودعتك حياتي فلا تجعل مرها يسقيني و لا حلوها يلهيني,0,,msa
1907,ابراهيم عيسى سيحاكم بتهمة ازدراء الاسلام ؟ عيسى قدم فهما عميقا للدين لا يتوفر عند المرشد من يزدري الاسلام هو من يكذب ويزور ويظلم يا بديع,0,,nile
1908, ريال مدريد هو نادي الكُرة الأرضية ! 😍😍 انشيلوتي ❤طبعا و الاهلي 💕 😍 ,0,,msa
1909,  الأمم المتحدة تنتظر موافقة  دمشق و  موسكو على هدنة جديدة في  حلب. ,0,,msa
1910, حسيت بيقين جوها ممرره زي اغاني جستن بيبر بس كل ما سمعتها كذا يرجع لي حماس الافلام لأن الايقاع الاساسي نفسه.. صوت جونقكوك جميل فيها ,0,,msa
1911,دستور يتوافق عليه الشعب حقوق انسان ثابتة دولة مدنية جيش جزء من السلطة التنفيذيةما لم نتفق على تلك الأساسيات لتوحدنا كمصريين فكلنا خاسرون,0,,msa
1912,الأسواني: لهذا لا يوجد فرق بين إرهاب الكنيسة الكاثوليكية في الأندلس على يد الراهب بليدا وإرهاب أسامة بن لادن>>,0,,msa
1913,أمل الجمل: عن  الشتا اللي فات  وشتاءات أخرى مقبلة,0,,nile
1914, نبض نيوز اا  جمعة الغضب اا بالفيديو موقع أمريكي يرصد مذبحة رمسيس بجمعة الغضب حجارة معارضي الانقلاب في مواجهة …,0,,msa
1915,يهنئ حزب الوسط الدكتور عبد الفتاح ماضي بتعيينه رئيسا للمجلس القومى للشباب ويتمنى له التوفيق ,0,,msa
1916,لا تثقل يومك بهموم غدك فقد لا تأتى هموم الغد و تكون قد حرمت نفسك من سرور يومك صباحكم سعادة و سرور :),0,,msa
1917,أسف يا ريس،رغم إنتمائي للأخوان إلا أنني إبن ثورة الحرية لذلك ارفض السلطات المطلقة للرئيس مهما كانت السبب وأي كانت المدة,0,,nile
1918, تعا كرمالي ، تعا بالليالي، تعا بالصدفة، تعا بخيالي  اليسا 🎵. ,0,,levant
1919, يينكسر ملاذ الصواريخ علي اصابعنا كالفخار 🙌🏻  قروب فلسطيني  فلسطين ,0,,msa
1920,7 ماله سمك إسكندرية يافندم؟ طب والله من غير مبالغة لفيت العالم مالقيت مثيله وأتوسل إليكي ماتحطميش أسطورتي الخاصة,0,,nile
1921, عيد ميلاد الغالية النهاردة دا يوم خير ان شاء الله  فيروز ❤️ ,0,,nile
1922,اللهجة التونسية فعلا من احلى اللهجات في العالم العربي ومش صعبة,0,,nile
1923,هذا الارجنتين الي وصل ثلاث نهائيات ورا بعض ميسي ساتر عليهم,0,,gulf
1924, اشتباكات بالاسحلة المتوسطة الان في محيط فندق الريكسوس وقصور الضيافة بالعامصة  طرابلس الان  ليبيا ,0,,msa
1925,وين سارح؟ فاقد الإحساس واضح كنت ترسم ما كتبت وكانت عيونك  مسارح  كان يا ماكان،فيك الشوق فاضح  سري,0,,gulf
1926, مصدقية من جوجل ونسبة الربح كبيرة أانا حبيت افيدكم اكتبو في جوجل🌱 رب ,0,,nile
1927,  خطر في القدس... يزداد الخطر بزيادة الغفلة واللامبالاة في قضايا  القدس وآخرها صوت مآذنها الذي يقاوم  الاحتلال ,0,,msa
